Name	Supplier	Region	Country	Origin	Altitude	Varietal	Process	Harvest	Moisture	Density [g/l]	Weight [mg]	Roast Date	Profile	Level	Batch	In [g]	Out [g]	Loss	DTR	Color	Dose [g]	Grind [°Titus]	Notes	
G1 Konga	Rave	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Natural	2015	10.1%	743	147	09/09/2024	KL Natural	1.7	4,5	278.1	245.9	11.6%	18.0%				Tuscany	
Finca Tamana #4	Rave	South America	Colombia	Pital, Huila	1700-1800	Colombia, Castillo	Washed	2015	10.5%	742	146	09/09/2024	KL Washed	1.7	1,2,3,4,5	841.9	737.6	12.4%	22.0%				Tuscany	
Boa Vista	88graines	South America	Brazil	Campo Das Vertentes	1150	Yellow Catucai	Aerobic	2023	11.1%	718	137	09/09/2024	KL Natural	2.6	6,7	279.6	241.3	13.7%	18.5%	105	17.0	55.0		
Finca El Puente	88graines	Central America	Honduras	Marcala, La Paz	1500-1700	Catuai	Natural	2023	11.8%	722	187	09/09/2024	KL Natural	2.7	8,9,10	497.2	424.4	14.6%	18.5%	114	17.0	30.0		
Fazenda Londrina	BellaBarista	South America	Brazil	Cerrado, Minas Gerais	1150	Yellow Catuai, Catu, Acaia	Pulped Natural	2015	10.0%	718	188	10/09/2024	KL Natural	1.9	1,2,3	385.9	340.0	11.9%	21.5%				Tuscany	
Shakiso Kayon	Sweet Maria's	Africa	Ethiopia	Guji Zone, Shakiso	1900-2200	Mixed Heirloom	Natural	2015	10.8%	729	120	10/09/2024	KL Natural	1.7	4,5	255.2	223.5	12.4%	20.5%	118	17.0	40.0		
G1 Dumerso	Rave	Africa	Ethiopia	Yirgacheffe	1800-2000	Mixed Heirloom	Natural	2015	9.6%	737	138	19/10/2024	KL Natural	1.7	1,2,3	360.0	317.3	11.9%	22.6%	115	17.0	50.0	Nice!	
Rocko Mountain	Rave	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Natural	2015	10.1%	744	123	19/10/2024	KL Natural	1.7	4	100.0	88.1	11.9%	15.7%	120	17.0	40.0	Nice!	
Simbi	Rave	Africa	Rwanda	Southern Province, Huye District	2000-2200	Red Bourbon	Fully Washed	2015	10.6%	735	155	19/10/2024	KL Washed	1.7	5	100.0	86.7	13.3%	23.1%					
Monsooned Malabar AA	Rave	India	India	Chikmagalur, Malabar	1100	S275, S9, Kent, Catuai	Monsooned	2015	LOW	507	160	19/10/2024	KL Washed	2.3	6	100.0	88.1	11.9%	21.6%	112	17.0	37.5	Interesting, probably good	
Rocko Mountain	Rave	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Natural	2015	10.1%	744	123	19/10/2024	KL Natural	1.8	1,2,3,4	660.0	579.2	12.2%	21.0%		17.0	40.0	Nice!	
Simbi	Rave	Africa	Rwanda	Southern Province, Huye District	2000-2200	Red Bourbon	Fully Washed	2015	10.6%	735	155	30/04/2025	KL Washed	1.5	8,9,10,11	440.0	384.3	12.7%	22.0%	106	16.5	30.0	Nice, bit too dark	
Rocko Mountain	Rave	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Natural	2015	10.1%	744	123	30/04/2025	KL Natural	1.8	1,2	188.9	166.5	11.9%		115	16.5	40.0	Nice!	
G1 Dumerso	Rave	Africa	Ethiopia	Yirgacheffe	1800-2000	Mixed Heirloom	Natural	2015	9.6%	737	138	30/04/2025	KL Natural	1.7	3,4,5,6,7	580.6	513.5	11.6%		119	16.5	40.0	Very nice!	
Simbi	Rave	Africa	Rwanda	Southern Province, Huye District	2000-2200	Red Bourbon	Fully Washed	2015	10.6%	735	155	13/05/2025	KL Washed	1.1	1,2,3,4	391.5	344.5	12.0%		108	16.0	22.5	Nice, still a bit too dark	
Santos	Rave	South America	Brazil	?		?	?	2015	8.2%	730	126	26/05/2025	KL Washed	1.5	1	100.0	88.7	11.3%		112	16.5	37.5	Nice, maybe tiny bit darker	
Thirikwa Asali	Evo	Africa	Kenya	Kirinyaga Region	1600-1700	SL28 AA	Washed	2015	9.5%	694	171	26/05/2025	KL Washed	1.5	2	100.0	87.1	12.9%		112	16.5	35.0	Nice!	
Guji Liya	Rave	Africa	Ethiopia	East of the Sidama zone, Oromia	1900-2000	Mixed Heirloom	Washed	2015	9.1%	752	148	26/05/2025	KL Washed	1.0	3	100.0	88.3	11.7%		110	16.5	37.5	Very nice!	
